,date,id,text,like,n_rt,author,location,retweeted,user_mentions,hastags
30,2023-02-12 21:54:28+00:00,1624889700665155584,"Ho fatto abbastanza schifo dai 😀

#fantasanremo2023 https://t.co/SEkiyxCcUc",0,0,Luana_m89,Italia,False,[],"[{""text"": ""fantasanremo2023"", ""indices"": [34, 51]}]"
31,2023-02-12 21:54:19+00:00,1624889662400524288,"Si chiude al 357° 🫡
#FantaSanremo #sanremo2023 https://t.co/rm8crrmAwV",0,0,elyx111,Molto bassa veronese - Italy,False,[],"[{""text"": ""FantaSanremo"", ""indices"": [20, 33]}, {""text"": ""sanremo2023"", ""indices"": [34, 46]}]"
32,2023-02-12 21:54:18+00:00,1624889658424414208,"Scusate, ma voi vedete già gli aggiornamenti della finale? I miei punti sono ancora fermi a ieri...  #fantasanremo2023 #fantasanremo",0,0,GabriMazzon,Felicizia ,False,[],"[{""text"": ""fantasanremo2023"", ""indices"": [101, 118]}, {""text"": ""fantasanremo"", ""indices"": [119, 132]}]"
33,2023-02-12 21:53:36+00:00,1624889485451309057,"Premessa: trovo simpatica Chiara.

Sanremo 2023: Chiara Ferragni e la polemica inconsistente sul sessismo nei suoi confronti

#FestivalDiSanremo2023 #Sanremo2023 #Sanremo #FestivaldiSanremo #Fantasanremo23
#Fantasanremo #ChiaraFerragni #Ferragni #Ferragnez
https://t.co/oFbWSyOVVB",0,0,Vale_Mazzella,,False,[],[]
34,2023-02-12 21:53:24+00:00,1624889434746265600,"#LeoGassman non solo aveva una canzone che faceva cagare, ma mi ha fatto pure arrivare ultimo al #fantasanremo2023",3,0,watermelonrec,Roma ,False,[],"[{""text"": ""LeoGassman"", ""indices"": [0, 11]}, {""text"": ""fantasanremo2023"", ""indices"": [97, 114]}]"
35,2023-02-12 21:53:22+00:00,1624889426504564737,RT @06Airam: Rappresentazione di Marco e i premi vinti in questa settimana 👑 #Sanremo2023 #fantasanremo2023 https://t.co/z216hTCnAk,0,1,elisa_nelva,,False,"[{""screen_name"": ""06Airam"", ""name"": ""\u1d0d\u1d00\u0280\u026a\u1d00 \u2708\ufe0f"", ""id"": 366194981, ""id_str"": ""366194981"", ""indices"": [3, 11]}]","[{""text"": ""Sanremo2023"", ""indices"": [77, 89]}, {""text"": ""fantasanremo2023"", ""indices"": [90, 107]}]"
36,2023-02-12 21:53:11+00:00,1624889376810450944,Sono arrivata SECONDA al #fantasanremo nella Lega del Lazio Twitter! GRAZIE MARCO! 🫶,0,0,flamanc24,"Roma, Lazio 🦅",False,[],"[{""text"": ""fantasanremo"", ""indices"": [25, 38]}]"
37,2023-02-12 21:52:32+00:00,1624889213421223937,RT @FantaSanremo: La Classifica Artisti del #fantasanremo2023. Correte su https://t.co/visf3HpZXa per controllare i punteggi delle vostre s…,0,73,minuttfminutt,,False,"[{""screen_name"": ""FantaSanremo"", ""name"": ""FantaSanremo"", ""id"": 1347571972016902144, ""id_str"": ""1347571972016902144"", ""indices"": [3, 16]}]","[{""text"": ""fantasanremo2023"", ""indices"": [44, 61]}]"
38,2023-02-12 21:52:30+00:00,1624889207201095680,"RT @_LaChicca__: Il messaggio del capitano si ascolta con la mano sul cuore. 

#fantasanremo2023 #fantasanremo #sanremo2023 https://t.co/GT…",0,30,_apartete_,,False,"[{""screen_name"": ""_LaChicca__"", ""name"": ""Chiara\ud83c\udf3b\u2022\u2615\ufe0f\ud83c\udf4b| mengini\ud83d\udc90"", ""id"": 1177263949, ""id_str"": ""1177263949"", ""indices"": [3, 15]}]","[{""text"": ""fantasanremo2023"", ""indices"": [79, 96]}, {""text"": ""fantasanremo"", ""indices"": [97, 110]}, {""text"": ""sanremo2023"", ""indices"": [111, 123]}]"
39,2023-02-12 21:52:25+00:00,1624889185193656321,E son soddisfazioni..grazie alla squadra..@mengonimarco primo e Sethu ultimo 🤣 #fantasanremo #fantasanremo2023 #Sanremo2023 #Mengoni #Sethu https://t.co/W9kUX9HuSD,0,0,SilviaPerbe,,False,"[{""screen_name"": ""mengonimarco"", ""name"": ""Marco Mengoni"", ""id"": 96948912, ""id_str"": ""96948912"", ""indices"": [42, 55]}]","[{""text"": ""fantasanremo"", ""indices"": [79, 92]}, {""text"": ""fantasanremo2023"", ""indices"": [93, 110]}]"
40,2023-02-12 21:52:21+00:00,1624889166981918721,"Perché a lui non bastava vincere solo #Sanremo2023, la serata cover e il premio dell'orchestra...
Anche il #fantasanremo2023 https://t.co/ecwXmPGzUN",1,0,Valentik_83,,False,[],"[{""text"": ""Sanremo2023"", ""indices"": [38, 50]}]"
41,2023-02-12 21:51:33+00:00,1624888969451167744,"@olly_nclusive vince il ""Premio Fantasanremo"" al #fantasanremo2023 un ragazzo che fa bella musica e ha fatto vivere belle emozioni con tanta leggerezza, grazie mille Benji 😜💜 te se amaaaaaaaaaaa
#sanremo23",0,0,Fraboccia76,"Salerno, Campania",False,"[{""screen_name"": ""olly_nclusive"", ""name"": ""Olly \ud83c\udf0a"", ""id"": 1304805913715453953, ""id_str"": ""1304805913715453953"", ""indices"": [0, 14]}]","[{""text"": ""fantasanremo2023"", ""indices"": [49, 66]}]"
42,2023-02-12 21:51:26+00:00,1624888937566052353,RT @FantaSanremo: La Classifica Artisti del #fantasanremo2023. Correte su https://t.co/visf3HpZXa per controllare i punteggi delle vostre s…,0,73,Silvia15673766,,False,"[{""screen_name"": ""FantaSanremo"", ""name"": ""FantaSanremo"", ""id"": 1347571972016902144, ""id_str"": ""1347571972016902144"", ""indices"": [3, 16]}]","[{""text"": ""fantasanremo2023"", ""indices"": [44, 61]}]"
43,2023-02-12 21:51:21+00:00,1624888915332149248,"RT @barbie_turico_: Io la butto là... ma Rosa Chemical al Festival di San Marino?! 

Dai che ci riprendiamo tutto

#sanremo23 #eurovision #…",0,9,GiorgiaPotter3,,False,"[{""screen_name"": ""barbie_turico_"", ""name"": ""Lu"", ""id"": 1325781028510846977, ""id_str"": ""1325781028510846977"", ""indices"": [3, 18]}]","[{""text"": ""sanremo23"", ""indices"": [115, 125]}, {""text"": ""eurovision"", ""indices"": [126, 137]}]"
44,2023-02-12 21:51:01+00:00,1624888834709155841,"RT @SanremoESC: Marco Mengoni vince il Fantasanremo 2023✨

Al secondo posto Sethu e al terzo Rosa Chemical

#Sanremo2023 #fantasanremo",0,12,smsmdfff,,False,"[{""screen_name"": ""SanremoESC"", ""name"": ""Festival di Sanremo\ud83d\udc90ESC"", ""id"": 1339687857615757314, ""id_str"": ""1339687857615757314"", ""indices"": [3, 14]}]","[{""text"": ""Sanremo2023"", ""indices"": [108, 120]}, {""text"": ""fantasanremo"", ""indices"": [121, 134]}]"
45,2023-02-12 21:50:52+00:00,1624888796968898561,RT @FantaSanremo: La Classifica Artisti del #fantasanremo2023. Correte su https://t.co/visf3HpZXa per controllare i punteggi delle vostre s…,0,73,NegraSamy,,False,"[{""screen_name"": ""FantaSanremo"", ""name"": ""FantaSanremo"", ""id"": 1347571972016902144, ""id_str"": ""1347571972016902144"", ""indices"": [3, 16]}]","[{""text"": ""fantasanremo2023"", ""indices"": [44, 61]}]"
46,2023-02-12 21:50:41+00:00,1624888750563106816,"RT @rain_drop_24: Posso far finta di star bene, ma mi manchi.
#sanremo2023 #sanremo #sanremo23 #fantasanremo #fantasanremo2023 https://t.co…",0,1,DilettaLelli,"Pisa, Toscana",False,"[{""screen_name"": ""rain_drop_24"", ""name"": ""malinconia_granulare\ud83c\udf42"", ""id"": 785122635998957568, ""id_str"": ""785122635998957568"", ""indices"": [3, 16]}]","[{""text"": ""sanremo2023"", ""indices"": [62, 74]}, {""text"": ""sanremo"", ""indices"": [75, 83]}, {""text"": ""sanremo23"", ""indices"": [84, 94]}, {""text"": ""fantasanremo"", ""indices"": [95, 108]}, {""text"": ""fantasanremo2023"", ""indices"": [109, 126]}]"
47,2023-02-12 21:50:22+00:00,1624888669906644996,"Beh per essere la prima volta posso dire di avere una certa bravura 😅, soprattutto a fare tanti punti quasi quanti la posizione in classifica 🤣🫣

#fantasanremo 
#fantasanremo2023 
#Sanremo2023 
#papalina https://t.co/zrVZzOKCya",0,0,Mavy_84,,False,[],[]
48,2023-02-12 21:50:21+00:00,1624888663749304320,"RT @_LaChicca__: Il messaggio del capitano si ascolta con la mano sul cuore. 

#fantasanremo2023 #fantasanremo #sanremo2023 https://t.co/GT…",0,30,AndreadiErebor,"Emilia Romagna, Italia",False,"[{""screen_name"": ""_LaChicca__"", ""name"": ""Chiara\ud83c\udf3b\u2022\u2615\ufe0f\ud83c\udf4b| mengini\ud83d\udc90"", ""id"": 1177263949, ""id_str"": ""1177263949"", ""indices"": [3, 15]}]","[{""text"": ""fantasanremo2023"", ""indices"": [79, 96]}, {""text"": ""fantasanremo"", ""indices"": [97, 110]}, {""text"": ""sanremo2023"", ""indices"": [111, 123]}]"
49,2023-02-12 21:50:12+00:00,1624888626201956355,"#CollaZio non ci siamo proprio😒

#Sanremo2023 #fantasanremo2023 https://t.co/jPrBiBoyyy",0,0,piccologiorgino,"Novara, Piemonte",False,[],"[{""text"": ""CollaZio"", ""indices"": [0, 9]}, {""text"": ""Sanremo2023"", ""indices"": [33, 45]}, {""text"": ""fantasanremo2023"", ""indices"": [46, 63]}]"
50,2023-02-12 21:50:06+00:00,1624888602361532417,"RT @_LaChicca__: Il messaggio del capitano si ascolta con la mano sul cuore. 

#fantasanremo2023 #fantasanremo #sanremo2023 https://t.co/GT…",0,30,pieceofyou,,False,"[{""screen_name"": ""_LaChicca__"", ""name"": ""Chiara\ud83c\udf3b\u2022\u2615\ufe0f\ud83c\udf4b| mengini\ud83d\udc90"", ""id"": 1177263949, ""id_str"": ""1177263949"", ""indices"": [3, 15]}]","[{""text"": ""fantasanremo2023"", ""indices"": [79, 96]}, {""text"": ""fantasanremo"", ""indices"": [97, 110]}, {""text"": ""sanremo2023"", ""indices"": [111, 123]}]"
