,date,id,text,like,n_rt,author,location,retweeted,user_mentions,hastags
0,2023-02-12 21:01:14+00:00,1624876306792955907,"RT @FraLauricella: 💐#Sanremo2023 

#ColapesceDimartino e #ComaCose premiati per le loro canzoni.

 🌺#FestivalDiSanremo2023 https://t.co/9EE…",0,0,FraLauricella,Rome,False,"[{""screen_name"": ""FraLauricella"", ""name"": ""Francesco Lauricella"", ""id"": 50355977, ""id_str"": ""50355977"", ""indices"": [3, 17]}]","[{""text"": ""Sanremo2023"", ""indices"": [20, 32]}, {""text"": ""ColapesceDimartino"", ""indices"": [35, 54]}, {""text"": ""ComaCose"", ""indices"": [57, 66]}, {""text"": ""FestivalDiSanremo2023"", ""indices"": [100, 122]}]"
1,2023-02-12 21:01:14+00:00,1624876304544722944,"RT @Cinguetterai: La copertina con il podio di #Sanremo2023 

#MarcoMengoni #Lazza #MrRain https://t.co/iNwFRnZ9iG",0,135,Sciabbi,Firenze,False,"[{""screen_name"": ""Cinguetterai"", ""name"": ""Cinguetterai \uea00"", ""id"": 3024638457, ""id_str"": ""3024638457"", ""indices"": [3, 16]}]","[{""text"": ""Sanremo2023"", ""indices"": [47, 59]}, {""text"": ""MarcoMengoni"", ""indices"": [62, 75]}, {""text"": ""Lazza"", ""indices"": [76, 82]}, {""text"": ""MrRain"", ""indices"": [83, 90]}]"
2,2023-02-12 21:01:14+00:00,1624876304075038721,"RT @marrmat: Marco Mengoni             Io con 2 ore
con 2 ore di                    di sonno: 
sonno: 

#CTCF
#Sanremo2023 https://t.co/sBP…",0,2,indueminuti_,cuore blu,False,"[{""screen_name"": ""marrmat"", ""name"": ""mara | sanremo era \ud83d\udc90"", ""id"": 474058752, ""id_str"": ""474058752"", ""indices"": [3, 11]}]","[{""text"": ""CTCF"", ""indices"": [104, 109]}, {""text"": ""Sanremo2023"", ""indices"": [110, 122]}]"
3,2023-02-12 21:01:13+00:00,1624876301482971137,"RT @yleniaindenial1: il festival di sanremo finito da due secondi.
noi: 

#DomenicaIn #Sanremo2023

https://t.co/dhF4on2wVp",0,589,perfetta_cosi,,False,"[{""screen_name"": ""yleniaindenial1"", ""name"": ""\u00a5le \u2728"", ""id"": 1420151270388736004, ""id_str"": ""1420151270388736004"", ""indices"": [3, 19]}]","[{""text"": ""DomenicaIn"", ""indices"": [74, 85]}, {""text"": ""Sanremo2023"", ""indices"": [86, 98]}]"
4,2023-02-12 21:01:13+00:00,1624876301084508163,RT @aIesarchive: il trash di gianmaria fancam mostro #Sanremo2023 #DomenicaIn #gIANMARIA @gIANMARIAAAAA https://t.co/KlT3dd4wwk,0,40,midnightgio,"grey’s anatomy and mikaelson lovebot
“no mourners, no funerals” 
shameless (2011)",False,"[{""screen_name"": ""aIesarchive"", ""name"": ""\ud83d\udcc2"", ""id"": 1502949849825779714, ""id_str"": ""1502949849825779714"", ""indices"": [3, 15]}, {""screen_name"": ""gIANMARIAAAAA"", ""name"": ""gIANMARIA"", ""id"": 1319554122228662273, ""id_str"": ""1319554122228662273"", ""indices"": [89, 103]}]","[{""text"": ""Sanremo2023"", ""indices"": [53, 65]}, {""text"": ""DomenicaIn"", ""indices"": [66, 77]}, {""text"": ""gIANMARIA"", ""indices"": [78, 88]}]"
5,2023-02-12 21:01:13+00:00,1624876300782403589,"RT @chetempochefa: ""Se questa è l’ultima
Canzone e poi la luna esploderà
Sarò lì a dirti che sbagli ti sbagli e lo sai
Qui non arriva la mu…",0,11,angelacaput0,"Calabria, Italia",False,"[{""screen_name"": ""chetempochefa"", ""name"": ""Che Tempo Che Fa"", ""id"": 58748101, ""id_str"": ""58748101"", ""indices"": [3, 17]}]",[]
6,2023-02-12 21:01:12+00:00,1624876296873410560,"RT @_MissCoraline_: Piangendo. E non ironicamente. 🤧

#MarcoMengoni #Sanremo2023 #CTCF https://t.co/5IxnIfKZov",0,1,177ABak3rStreet,⭒☽20 y/o•she/her•INTJ•virgo☽⊹,False,"[{""screen_name"": ""_MissCoraline_"", ""name"": ""franci \ud83e\udd0d"", ""id"": 1638790530, ""id_str"": ""1638790530"", ""indices"": [3, 18]}]","[{""text"": ""MarcoMengoni"", ""indices"": [54, 67]}, {""text"": ""Sanremo2023"", ""indices"": [68, 80]}, {""text"": ""CTCF"", ""indices"": [81, 86]}]"
7,2023-02-12 21:01:12+00:00,1624876296378408965,RT @aleferaz: IL BLANCO GATE VISTO DAI CUGINI DI CAMPAGNA 💀💀💀 #Dietrofestival #Sanremo2023 https://t.co/Jw8VCX8TOe,0,610,Luxiiis,,False,"[{""screen_name"": ""aleferaz"", ""name"": ""venere di twitta \ud83d\udc90"", ""id"": 1423688966394556423, ""id_str"": ""1423688966394556423"", ""indices"": [3, 12]}]","[{""text"": ""Dietrofestival"", ""indices"": [62, 77]}, {""text"": ""Sanremo2023"", ""indices"": [78, 90]}]"
8,2023-02-12 21:01:12+00:00,1624876296349032448,"RT @aleferaz: le serate passate insieme, i meme, i drama.

è stata una settimana piena di emozioni ed è stato bellissimo condividerla con v…",0,23,xineedharryx,,False,"[{""screen_name"": ""aleferaz"", ""name"": ""venere di twitta \ud83d\udc90"", ""id"": 1423688966394556423, ""id_str"": ""1423688966394556423"", ""indices"": [3, 12]}]",[]
9,2023-02-12 21:01:12+00:00,1624876295099150336,"RT @FraLauricella: 💐#Sanremo2023 

Solo uomini, nessuna cantante fra i finalisti del #festivaldisanremo.

 🌺#FestivalDiSanremo2023 https://…",0,0,FraLauricella,Rome,False,"[{""screen_name"": ""FraLauricella"", ""name"": ""Francesco Lauricella"", ""id"": 50355977, ""id_str"": ""50355977"", ""indices"": [3, 17]}]","[{""text"": ""Sanremo2023"", ""indices"": [20, 32]}, {""text"": ""festivaldisanremo"", ""indices"": [85, 103]}, {""text"": ""FestivalDiSanremo2023"", ""indices"": [108, 130]}]"
